Time,L_FTC,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FTC,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,,L_knee,,,R_knee,,,L_ankle,,,R_ankle,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.11,1255.76,96.0468,883.384,1071.87,220.792,21.8895,868.634,228.243,44.8743,875.916,165.272,53.263,925.58,126.904,29.2131,1319.89,436.362,885.747,1657.99,289.49,91.7442,1463.34,279.695,31.1803,1466.96,336.728,37.2912,1528.59,384.04,28.8381,1101.8,177.866,483.004,1369.05,341.495,473.362,1018.72,212.65,87.5232,1578.89,299.666,124.397
0.12,1244.39,94.643,884.784,1071.57,220.532,22.3314,867.509,228.857,39.4918,874.037,165.886,49.1046,925.093,126.451,27.0419,1308.87,435.254,885.766,1654.88,290.522,97.748,1463.27,279.677,30.9107,1466.52,336.859,37.0969,1527.69,384.148,29.6044,1091.91,177.799,483.922,1358.97,341.42,473.605,1016.69,213.172,86.5773,1575.34,301.111,128.321
0.13,1233.07,93.1922,886.286,1071.26,220.227,22.8265,866.587,229.468,34.7366,872.319,166.523,45.6,924.661,125.958,25.416,1297.74,434.152,885.965,1651.07,291.487,104.221,1463.18,279.56,30.6659,1466.03,336.915,36.9291,1526.63,384.268,30.5916,1082.24,177.763,484.866,1348.12,341.466,473.782,1014.87,213.672,85.8277,1571.15,302.634,132.517
0.14,1221.83,91.704,887.836,1070.91,219.908,23.3375,865.818,230.084,30.6825,870.734,167.193,42.7925,924.226,125.484,24.3285,1286.55,433.051,886.343,1646.48,292.366,111.198,1463.04,279.352,30.5242,1465.46,336.89,36.8398,1525.41,384.395,31.8724,1072.88,177.767,485.786,1336.44,341.671,473.845,1013.23,214.171,85.2551,1566.28,304.216,136.992
0.15,1210.73,90.189,889.379,1070.5,219.603,23.8305,865.168,230.702,27.349,869.279,167.894,40.6712,923.763,125.083,23.7324,1275.39,431.944,886.885,1641.06,293.143,118.713,1462.8,279.071,30.5791,1464.78,336.789,36.8927,1523.99,384.525,33.5307,1063.86,177.814,486.641,1323.87,342.063,473.75,1011.77,214.689,84.8293,1560.65,305.836,141.758
0.16,1199.79,88.6597,890.873,1070.05,219.335,24.278,864.615,231.316,24.7096,867.958,168.615,39.1801,923.272,124.792,23.5516,1264.34,430.822,887.566,1634.76,293.805,126.79,1462.4,278.752,30.9319,1463.96,336.629,37.1605,1522.37,384.656,35.6582,1055.26,177.902,487.399,1310.38,342.661,473.47,1010.48,215.235,84.5153,1554.24,307.468,146.823
0.17,1189.04,87.1294,892.282,1069.58,219.12,24.6607,864.148,231.914,22.7027,866.784,169.341,38.2305,922.766,124.632,23.6917,1253.45,429.678,888.354,1627.54,294.343,135.439,1461.76,278.442,31.6826,1462.94,336.44,37.7185,1520.5,384.786,38.3486,1047.09,178.02,488.035,1295.97,343.47,472.992,1009.35,215.81,84.2773,1547.01,309.083,152.195
0.18,1178.53,85.6121,893.586,1069.11,218.967,24.968,863.761,232.479,21.2436,865.769,170.048,37.7151,922.268,124.607,24.0522,1242.78,428.503,889.208,1619.39,294.748,144.652,1460.79,278.202,32.9193,1461.67,336.262,38.6387,1518.32,384.914,41.6895,1039.39,178.151,488.539,1280.68,344.481,472.326,1008.39,216.406,84.0837,1538.94,310.645,157.877
0.19,1168.27,84.1218,894.775,1068.69,218.877,25.1967,863.449,232.995,20.2359,864.919,170.713,37.5206,921.801,124.703,24.5363,1232.37,427.295,890.085,1610.3,295.005,154.394,1459.36,278.097,34.7071,1460.06,336.147,39.9822,1515.78,385.041,45.7527,1032.15,178.273,488.909,1264.57,345.671,471.505,1007.59,217.009,83.9092,1530.04,312.115,163.861
0.2,1158.3,82.6715,895.849,1068.33,218.845,25.3504,863.208,233.448,19.5811,864.237,171.313,37.5391,921.389,124.896,25.0591,1222.25,426.056,890.946,1600.28,295.099,164.596,1457.33,278.196,37.0789,1458,336.15,41.7919,1512.78,385.171,50.5842,1025.38,178.364,489.152,1247.73,347.002,470.579,1006.93,217.599,83.7366,1520.31,313.452,170.131
